Rank,Team,Current_AdjEM,AdjO,AdjD,AdjT,Games,Preseason_AdjEM,SurpriseZ,CollapseFactor,FinalPreseasonWeight,Blended_AdjEM,RQ,RQ_Win_Avg,RQ_Loss_Avg,RQ_Wins_N,RQ_Losses_N,Consistency,Volatility_z,Swing_z,Rank.1,SOS,Road_Pct,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L,T100_W,T100_L,StrengthAdjust,TopPerf,BadBeat,StrengthAdjust_z,StrengthAdjust_n,Venue_AdjEM_Home,Venue_AdjEM_AwayNeutral,Venue_AdjEM_AN_minus_Home,Venue_AdjEM_Home_N,Venue_AdjEM_AwayNeutral_N,Conference,ADJEM,Selection_Score,AQ,Bid_Type,Overall_Rank,Seed
1,Arizona,37.42179776646766,124.8,87.3,73.9,21,27.16,1.7102996277446103,0.5148832415242025,2.05953296609681,36.50527830258555,7.752267762048213,0.3691556077165814,0.0,21,0,35.75867200922431,1.0063595182954186,1.0886360456746138,1,8.96,1.0,9,0,2,0,4,0,6,0,13,0,3.887572683749788,1.8951327835342464,-1.9924399002155424,0.353415698522708,21,0.8981672311727174,-0.1011952861515404,-0.8936957842451146,12,9,B12,37.42179776646766,246.33351408173314,False,At-Large,1,1
3,Duke,36.378996113416065,124.4,88.0,69.6,20,20.84,2.5898326855693443,0.2210170986168425,0.8840683944673701,35.721196345375574,7.470701368448141,0.4063456865702079,-0.2498666763858075,19,1,28.647336064019218,1.2868801223208983,1.2354447057683184,3,10.56,0.9,9,1,3,0,2,0,5,0,11,1,-7.760446563752376,1.6849190860683292,9.445365649820706,-0.7054951421593069,20,2.231200472099238,2.201180046677187,-0.0300204254220516,10,10,ACC,36.378996113416065,243.2408975144629,False,At-Large,2,1
2,Michigan,36.98075253914131,123.0,86.0,75.9,19,22.77,2.3684587565235513,0.2833939771287144,1.1335759085148576,36.180647938079154,6.458952453969788,0.3932622392844871,-0.6197678531509789,18,1,22.468024595449656,1.570946857370127,1.4453148174407908,2,11.89,1.0,5,0,8,1,4,0,1,0,12,1,-1.1877013521600523,4.089743300798944,5.277444652958996,-0.1079728501963684,19,4.679691746237859,0.6889766887080452,-3.770494269471562,10,9,B10,36.98075253914131,233.68993198004108,False,At-Large,3,1
5,Nebraska,30.69016715277401,120.5,89.8,69.0,20,14.22,2.745027858795668,0.1835405253908967,0.734162101563587,30.106986001264044,6.958153998614186,0.3479076999307094,0.0,20,0,27.888681857525285,1.299384656386037,1.283472154657014,5,7.66,1.0,6,0,6,0,2,0,6,0,13,0,10.11922037574234,3.282797265154632,-6.836423110587708,0.9199291250674854,20,0.2734567669931206,-0.1021340865920925,-0.3300147257530265,12,8,B10,30.69016715277401,217.38180162490875,False,At-Large,4,1
10,Connecticut,28.89301651149296,117.8,88.9,67.6,20,25.55,0.5571694185821597,0.8568347933519515,3.427339173407806,28.403944689790116,7.327150471480534,0.3942845090569685,-0.1642552006018706,19,1,31.642363027816224,1.1155452576309537,1.2368190622960007,10,9.95,1.0,5,1,7,0,2,0,5,0,13,1,1.8276484070958192,2.3394255159027413,0.5117771088069222,0.166149855190529,20,1.067480076582149,1.6086320972551071,0.6324872143912168,11,9,BE,28.89301651149296,210.1775199605029,True,Auto,5,2
4,Michigan St.,31.027237466553817,117.8,86.8,68.2,20,24.95,1.0128729110923025,0.7513248396805107,3.0052993587220427,30.233337001437228,5.222618575399784,0.3053426902199856,-0.1367749242799781,18,2,28.26616797722496,1.258467113236904,1.308315144470585,4,9.88,0.875,5,2,5,0,2,0,6,0,9,2,6.710174046771539,4.271187926565127,-2.438986120206412,0.6100158224337763,20,1.7005269044531883,1.376938825985597,-0.0401669277253935,12,8,B10,31.027237466553817,189.58698258418133,True,Auto,6,2
9,Gonzaga,29.65968026610548,120.3,90.6,72.6,22,21.12,1.4232800443509137,0.6201252624459813,2.4805010497839253,28.79439218144511,5.210113465476024,0.2524823655158759,-0.0920162103573713,21,1,16.975046061854876,1.63668859576776,2.05122173725891,9,4.75,0.909,3,1,7,0,4,0,7,0,9,1,-8.34266984976938,1.437101454194753,9.779771303964132,-0.7584245317972161,22,4.483688890262329,2.1710016343449436,-2.3126872559173854,11,11,WCC,29.65968026610548,183.32598466634118,True,Auto,7,2
7,Illinois,30.67140591199481,127.0,96.3,68.4,20,21.59,1.513567651999135,0.587744377665849,2.350977510663396,29.71618231812204,4.983347654645632,0.3390549328186947,-0.2601954010907254,17,3,25.41071007834099,1.3151670506351043,1.4964034891335416,7,10.1,0.778,6,3,2,0,4,0,5,0,8,3,-7.105865082848908,1.6597224856001718,8.76558756844908,-0.6459877348044462,20,2.733689682548731,2.491492079758188,-0.0082990203264801,11,9,B10,30.67140591199481,177.40999946493957,False,At-Large,8,2
6,Purdue,30.242322724266245,126.2,96.0,67.7,20,27.3,0.4903871207110407,0.8686893075002291,3.4747572300009164,29.806797148475667,4.982906682042337,0.3488022999974104,-0.3155774726378805,17,3,20.892799016659755,1.5012099464235806,1.7156075576000969,6,11.69,0.875,6,3,2,0,6,0,3,0,9,3,-4.451968381455427,1.4672595717640635,5.91922795321949,-0.4047243983141297,20,-0.2455750779252974,3.8100240797980014,4.014669978069082,12,8,B10,30.242322724266245,176.20139926543055,False,At-Large,9,3
11,Iowa St.,28.58553311710527,120.9,92.3,70.3,20,25.07,0.5859221861842118,0.8514623372449973,3.4058493489799893,28.07397824893159,4.700686667580525,0.2927709551613826,-0.2845952626621786,18,2,26.38370987990329,1.3620754745295285,1.3327312913834148,11,5.5,0.778,5,1,4,1,2,0,7,0,10,2,-1.814168188900943,3.3469246098868486,5.1610927987877915,-0.1649243808091766,20,4.535702404070855,1.0745759774904295,-3.0730449374620634,11,9,B12,28.58553311710527,173.12373384658719,False,At-Large,10,3
