Team,Seed,Count,P(Seed),P(Seed | In)
Kansas,5,0,0.0,0.0
Kansas,6,0,0.0,0.0
Kansas,7,0,0.0,0.0
Kansas,8,0,0.0,0.0
Kansas,9,0,0.0,0.0
Kansas,10,0,0.0,0.0
Kansas,11,0,0.0,0.0
Kansas,12,0,0.0,0.0
Kansas,13,0,0.0,0.0
Kansas,14,0,0.0,0.0
Kansas,15,0,0.0,0.0
Kansas,16,0,0.0,0.0
Florida,1,0,0.0,0.0
Florida,2,0,0.0,0.0
Florida,3,0,0.0,0.0
Florida,4,0,0.0,0.0
Florida,5,2000,1.0,1.0
Florida,6,0,0.0,0.0
Florida,7,0,0.0,0.0
Florida,8,0,0.0,0.0
Florida,9,0,0.0,0.0
Florida,10,0,0.0,0.0
Florida,11,0,0.0,0.0
Florida,12,0,0.0,0.0
Florida,13,0,0.0,0.0
Florida,14,0,0.0,0.0
Florida,15,0,0.0,0.0
Florida,16,0,0.0,0.0
Texas Tech,1,0,0.0,0.0
Texas Tech,2,0,0.0,0.0
Texas Tech,3,0,0.0,0.0
Texas Tech,4,2000,1.0,1.0
Texas Tech,5,0,0.0,0.0
Texas Tech,6,0,0.0,0.0
Texas Tech,7,0,0.0,0.0
Texas Tech,8,0,0.0,0.0
Texas Tech,9,0,0.0,0.0
Texas Tech,10,0,0.0,0.0
Texas Tech,11,0,0.0,0.0
Texas Tech,12,0,0.0,0.0
Texas Tech,13,0,0.0,0.0
Texas Tech,14,0,0.0,0.0
Texas Tech,15,0,0.0,0.0
Texas Tech,16,0,0.0,0.0
Vanderbilt,1,0,0.0,0.0
Vanderbilt,2,0,0.0,0.0
Vanderbilt,3,2000,1.0,1.0
Vanderbilt,4,0,0.0,0.0
Vanderbilt,5,0,0.0,0.0
Vanderbilt,6,0,0.0,0.0
Vanderbilt,7,0,0.0,0.0
Vanderbilt,8,0,0.0,0.0
Vanderbilt,9,0,0.0,0.0
Vanderbilt,10,0,0.0,0.0
Vanderbilt,11,0,0.0,0.0
Vanderbilt,12,0,0.0,0.0
Vanderbilt,13,0,0.0,0.0
Vanderbilt,14,0,0.0,0.0
Vanderbilt,15,0,0.0,0.0
Vanderbilt,16,0,0.0,0.0
Virginia,1,0,0.0,0.0
Virginia,2,0,0.0,0.0
Virginia,3,0,0.0,0.0
Virginia,4,2000,1.0,1.0
Virginia,5,0,0.0,0.0
Virginia,6,0,0.0,0.0
Virginia,7,0,0.0,0.0
Virginia,8,0,0.0,0.0
Virginia,9,0,0.0,0.0
Virginia,10,0,0.0,0.0
Virginia,11,0,0.0,0.0
Virginia,12,0,0.0,0.0
Virginia,13,0,0.0,0.0
Virginia,14,0,0.0,0.0
Virginia,15,0,0.0,0.0
Virginia,16,0,0.0,0.0
BYU,1,0,0.0,0.0
BYU,2,0,0.0,0.0
BYU,3,0,0.0,0.0
BYU,4,2000,1.0,1.0
BYU,5,0,0.0,0.0
BYU,6,0,0.0,0.0
BYU,7,0,0.0,0.0
BYU,8,0,0.0,0.0
BYU,9,0,0.0,0.0
BYU,10,0,0.0,0.0
BYU,11,0,0.0,0.0
BYU,12,0,0.0,0.0
BYU,13,0,0.0,0.0
BYU,14,0,0.0,0.0
BYU,15,0,0.0,0.0
BYU,16,0,0.0,0.0
Saint Louis,1,0,0.0,0.0
Saint Louis,2,0,0.0,0.0
Saint Louis,3,0,0.0,0.0
Saint Louis,4,0,0.0,0.0
Saint Louis,5,0,0.0,0.0
Saint Louis,6,2000,1.0,1.0
Saint Louis,7,0,0.0,0.0
Saint Louis,8,0,0.0,0.0
Saint Louis,9,0,0.0,0.0
Saint Louis,10,0,0.0,0.0
Saint Louis,11,0,0.0,0.0
Saint Louis,12,0,0.0,0.0
Saint Louis,13,0,0.0,0.0
Saint Louis,14,0,0.0,0.0
Saint Louis,15,0,0.0,0.0
Saint Louis,16,0,0.0,0.0
Tennessee,1,0,0.0,0.0
Tennessee,2,0,0.0,0.0
Tennessee,3,0,0.0,0.0
Tennessee,4,0,0.0,0.0
Tennessee,5,0,0.0,0.0
Tennessee,6,0,0.0,0.0
Tennessee,7,2000,1.0,1.0
Tennessee,8,0,0.0,0.0
Tennessee,9,0,0.0,0.0
Tennessee,10,0,0.0,0.0
Tennessee,11,0,0.0,0.0
Tennessee,12,0,0.0,0.0
Tennessee,13,0,0.0,0.0
Tennessee,14,0,0.0,0.0
Tennessee,15,0,0.0,0.0
Tennessee,16,0,0.0,0.0
Arkansas,1,0,0.0,0.0
Arkansas,2,0,0.0,0.0
Arkansas,3,0,0.0,0.0
Arkansas,4,0,0.0,0.0
Arkansas,5,2000,1.0,1.0
Arkansas,6,0,0.0,0.0
Arkansas,7,0,0.0,0.0
Arkansas,8,0,0.0,0.0
Arkansas,9,0,0.0,0.0
Arkansas,10,0,0.0,0.0
Arkansas,11,0,0.0,0.0
Arkansas,12,0,0.0,0.0
Arkansas,13,0,0.0,0.0
Arkansas,14,0,0.0,0.0
Arkansas,15,0,0.0,0.0
Arkansas,16,0,0.0,0.0
Alabama,1,0,0.0,0.0
Alabama,2,0,0.0,0.0
Alabama,3,0,0.0,0.0
Alabama,4,0,0.0,0.0
Alabama,5,2000,1.0,1.0
Alabama,6,0,0.0,0.0
Alabama,7,0,0.0,0.0
Alabama,8,0,0.0,0.0
Alabama,9,0,0.0,0.0
Alabama,10,0,0.0,0.0
Alabama,11,0,0.0,0.0
Alabama,12,0,0.0,0.0
Alabama,13,0,0.0,0.0
Alabama,14,0,0.0,0.0
Alabama,15,0,0.0,0.0
Alabama,16,0,0.0,0.0
Louisville,1,0,0.0,0.0
Louisville,2,0,0.0,0.0
Louisville,3,0,0.0,0.0
Louisville,4,0,0.0,0.0
Louisville,5,0,0.0,0.0
Louisville,6,2000,1.0,1.0
Louisville,7,0,0.0,0.0
Louisville,8,0,0.0,0.0
Louisville,9,0,0.0,0.0
Louisville,10,0,0.0,0.0
Louisville,11,0,0.0,0.0
Louisville,12,0,0.0,0.0
Louisville,13,0,0.0,0.0
Louisville,14,0,0.0,0.0
Louisville,15,0,0.0,0.0
Louisville,16,0,0.0,0.0
St. John's,1,0,0.0,0.0
St. John's,2,0,0.0,0.0
St. John's,3,0,0.0,0.0
St. John's,4,0,0.0,0.0
St. John's,5,0,0.0,0.0
St. John's,6,2000,1.0,1.0
St. John's,7,0,0.0,0.0
St. John's,8,0,0.0,0.0
St. John's,9,0,0.0,0.0
St. John's,10,0,0.0,0.0
St. John's,11,0,0.0,0.0
St. John's,12,0,0.0,0.0
St. John's,13,0,0.0,0.0
St. John's,14,0,0.0,0.0
St. John's,15,0,0.0,0.0
St. John's,16,0,0.0,0.0
Iowa,1,0,0.0,0.0
Iowa,2,0,0.0,0.0
Iowa,3,0,0.0,0.0
Iowa,4,0,0.0,0.0
Iowa,5,0,0.0,0.0
Iowa,6,0,0.0,0.0
Iowa,7,0,0.0,0.0
Iowa,8,0,0.0,0.0
Iowa,9,2000,1.0,1.0
Iowa,10,0,0.0,0.0
Iowa,11,0,0.0,0.0
Iowa,12,0,0.0,0.0
Iowa,13,0,0.0,0.0
Iowa,14,0,0.0,0.0
Iowa,15,0,0.0,0.0
Iowa,16,0,0.0,0.0
North Carolina,1,0,0.0,0.0
North Carolina,2,0,0.0,0.0
North Carolina,3,0,0.0,0.0
North Carolina,4,0,0.0,0.0
North Carolina,5,0,0.0,0.0
North Carolina,6,2000,1.0,1.0
North Carolina,7,0,0.0,0.0
North Carolina,8,0,0.0,0.0
North Carolina,9,0,0.0,0.0
North Carolina,10,0,0.0,0.0
North Carolina,11,0,0.0,0.0
North Carolina,12,0,0.0,0.0
North Carolina,13,0,0.0,0.0
North Carolina,14,0,0.0,0.0
North Carolina,15,0,0.0,0.0
North Carolina,16,0,0.0,0.0
Saint Mary's,1,0,0.0,0.0
Saint Mary's,2,0,0.0,0.0
Saint Mary's,3,0,0.0,0.0
Saint Mary's,4,0,0.0,0.0
Saint Mary's,5,0,0.0,0.0
Saint Mary's,6,0,0.0,0.0
Saint Mary's,7,0,0.0,0.0
Saint Mary's,8,2000,1.0,1.0
Saint Mary's,9,0,0.0,0.0
Saint Mary's,10,0,0.0,0.0
Saint Mary's,11,0,0.0,0.0
Saint Mary's,12,0,0.0,0.0
Saint Mary's,13,0,0.0,0.0
Saint Mary's,14,0,0.0,0.0
Saint Mary's,15,0,0.0,0.0
Saint Mary's,16,0,0.0,0.0
N.C. State,1,0,0.0,0.0
N.C. State,2,0,0.0,0.0
N.C. State,3,0,0.0,0.0
N.C. State,4,0,0.0,0.0
N.C. State,5,0,0.0,0.0
N.C. State,6,0,0.0,0.0
N.C. State,7,0,0.0,0.0
N.C. State,8,2000,1.0,1.0
N.C. State,9,0,0.0,0.0
N.C. State,10,0,0.0,0.0
N.C. State,11,0,0.0,0.0
N.C. State,12,0,0.0,0.0
N.C. State,13,0,0.0,0.0
N.C. State,14,0,0.0,0.0
N.C. State,15,0,0.0,0.0
N.C. State,16,0,0.0,0.0
Auburn,1,0,0.0,0.0
Auburn,2,0,0.0,0.0
Auburn,3,0,0.0,0.0
Auburn,4,0,0.0,0.0
Auburn,5,0,0.0,0.0
Auburn,6,0,0.0,0.0
Auburn,7,2000,1.0,1.0
Auburn,8,0,0.0,0.0
Auburn,9,0,0.0,0.0
Auburn,10,0,0.0,0.0
Auburn,11,0,0.0,0.0
Auburn,12,0,0.0,0.0
Auburn,13,0,0.0,0.0
Auburn,14,0,0.0,0.0
Auburn,15,0,0.0,0.0
Auburn,16,0,0.0,0.0
Kentucky,1,0,0.0,0.0
Kentucky,2,0,0.0,0.0
Kentucky,3,0,0.0,0.0
Kentucky,4,0,0.0,0.0
Kentucky,5,0,0.0,0.0
Kentucky,6,0,0.0,0.0
Kentucky,7,0,0.0,0.0
Kentucky,8,2000,1.0,1.0
Kentucky,9,0,0.0,0.0
Kentucky,10,0,0.0,0.0
Kentucky,11,0,0.0,0.0
Kentucky,12,0,0.0,0.0
Kentucky,13,0,0.0,0.0
Kentucky,14,0,0.0,0.0
Kentucky,15,0,0.0,0.0
Kentucky,16,0,0.0,0.0
SMU,1,0,0.0,0.0
SMU,2,0,0.0,0.0
SMU,3,0,0.0,0.0
SMU,4,0,0.0,0.0
SMU,5,0,0.0,0.0
SMU,6,0,0.0,0.0
SMU,7,2000,1.0,1.0
SMU,8,0,0.0,0.0
SMU,9,0,0.0,0.0
SMU,10,0,0.0,0.0
SMU,11,0,0.0,0.0
SMU,12,0,0.0,0.0
SMU,13,0,0.0,0.0
SMU,14,0,0.0,0.0
SMU,15,0,0.0,0.0
SMU,16,0,0.0,0.0
Villanova,1,0,0.0,0.0
Villanova,2,0,0.0,0.0
Villanova,3,0,0.0,0.0
Villanova,4,0,0.0,0.0
Villanova,5,0,0.0,0.0
Villanova,6,0,0.0,0.0
Villanova,7,0,0.0,0.0
Villanova,8,2000,1.0,1.0
Villanova,9,0,0.0,0.0
Villanova,10,0,0.0,0.0
Villanova,11,0,0.0,0.0
Villanova,12,0,0.0,0.0
Villanova,13,0,0.0,0.0
Villanova,14,0,0.0,0.0
Villanova,15,0,0.0,0.0
Villanova,16,0,0.0,0.0
Clemson,1,0,0.0,0.0
Clemson,2,0,0.0,0.0
Clemson,3,0,0.0,0.0
Clemson,4,0,0.0,0.0
Clemson,5,2000,1.0,1.0
Clemson,6,0,0.0,0.0
Clemson,7,0,0.0,0.0
Clemson,8,0,0.0,0.0
Clemson,9,0,0.0,0.0
Clemson,10,0,0.0,0.0
Clemson,11,0,0.0,0.0
Clemson,12,0,0.0,0.0
Clemson,13,0,0.0,0.0
Clemson,14,0,0.0,0.0
Clemson,15,0,0.0,0.0
Clemson,16,0,0.0,0.0
Utah St.,1,0,0.0,0.0
Utah St.,2,0,0.0,0.0
Utah St.,3,0,0.0,0.0
Utah St.,4,0,0.0,0.0
Utah St.,5,0,0.0,0.0
Utah St.,6,0,0.0,0.0
Utah St.,7,0,0.0,0.0
Utah St.,8,0,0.0,0.0
Utah St.,9,2000,1.0,1.0
Utah St.,10,0,0.0,0.0
Utah St.,11,0,0.0,0.0
Utah St.,12,0,0.0,0.0
Utah St.,13,0,0.0,0.0
Utah St.,14,0,0.0,0.0
Utah St.,15,0,0.0,0.0
Utah St.,16,0,0.0,0.0
Texas,1,0,0.0,0.0
Texas,2,0,0.0,0.0
Texas,3,0,0.0,0.0
Texas,4,0,0.0,0.0
Texas,5,0,0.0,0.0
Texas,6,0,0.0,0.0
Texas,7,0,0.0,0.0
Texas,8,0,0.0,0.0
Texas,9,0,0.0,0.0
Texas,10,0,0.0,0.0
Texas,11,40,0.02,1.0
Texas,12,0,0.0,0.0
Texas,13,0,0.0,0.0
Texas,14,0,0.0,0.0
Texas,15,0,0.0,0.0
Texas,16,0,0.0,0.0
Indiana,1,0,0.0,0.0
Indiana,2,0,0.0,0.0
Indiana,3,0,0.0,0.0
Indiana,4,0,0.0,0.0
Indiana,5,0,0.0,0.0
Indiana,6,0,0.0,0.0
Indiana,7,0,0.0,0.0
Indiana,8,0,0.0,0.0
Indiana,9,0,0.0,0.0
Indiana,10,0,0.0,0.0
Indiana,11,8,0.004,1.0
Indiana,12,0,0.0,0.0
Indiana,13,0,0.0,0.0
Indiana,14,0,0.0,0.0
Indiana,15,0,0.0,0.0
Indiana,16,0,0.0,0.0
Texas A&M,1,0,0.0,0.0
Texas A&M,2,0,0.0,0.0
Texas A&M,3,0,0.0,0.0
Texas A&M,4,0,0.0,0.0
Texas A&M,5,0,0.0,0.0
Texas A&M,6,0,0.0,0.0
Texas A&M,7,0,0.0,0.0
Texas A&M,8,0,0.0,0.0
Texas A&M,9,2000,1.0,1.0
Texas A&M,10,0,0.0,0.0
Texas A&M,11,0,0.0,0.0
Texas A&M,12,0,0.0,0.0
Texas A&M,13,0,0.0,0.0
Texas A&M,14,0,0.0,0.0
Texas A&M,15,0,0.0,0.0
Texas A&M,16,0,0.0,0.0
Georgia,1,0,0.0,0.0
Georgia,2,0,0.0,0.0
Georgia,3,0,0.0,0.0
Georgia,4,0,0.0,0.0
Georgia,5,0,0.0,0.0
Georgia,6,0,0.0,0.0
Georgia,7,2000,1.0,1.0
Georgia,8,0,0.0,0.0
Georgia,9,0,0.0,0.0
Georgia,10,0,0.0,0.0
Georgia,11,0,0.0,0.0
Georgia,12,0,0.0,0.0
Georgia,13,0,0.0,0.0
Georgia,14,0,0.0,0.0
Georgia,15,0,0.0,0.0
Georgia,16,0,0.0,0.0
Wisconsin,1,0,0.0,0.0
Wisconsin,2,0,0.0,0.0
Wisconsin,3,0,0.0,0.0
Wisconsin,4,0,0.0,0.0
Wisconsin,5,0,0.0,0.0
Wisconsin,6,0,0.0,0.0
Wisconsin,7,0,0.0,0.0
Wisconsin,8,0,0.0,0.0
Wisconsin,9,0,0.0,0.0
Wisconsin,10,2000,1.0,1.0
Wisconsin,11,0,0.0,0.0
Wisconsin,12,0,0.0,0.0
Wisconsin,13,0,0.0,0.0
Wisconsin,14,0,0.0,0.0
Wisconsin,15,0,0.0,0.0
Wisconsin,16,0,0.0,0.0
Ohio St.,1,0,0.0,0.0
Ohio St.,2,0,0.0,0.0
Ohio St.,3,0,0.0,0.0
Ohio St.,4,0,0.0,0.0
Ohio St.,5,0,0.0,0.0
Ohio St.,6,0,0.0,0.0
Ohio St.,7,0,0.0,0.0
Ohio St.,8,0,0.0,0.0
Ohio St.,9,0,0.0,0.0
Ohio St.,10,0,0.0,0.0
Ohio St.,11,1972,0.986,1.0
Ohio St.,12,0,0.0,0.0
Ohio St.,13,0,0.0,0.0
Ohio St.,14,0,0.0,0.0
Ohio St.,15,0,0.0,0.0
Ohio St.,16,0,0.0,0.0
UCLA,1,0,0.0,0.0
UCLA,2,0,0.0,0.0
UCLA,3,0,0.0,0.0
UCLA,4,0,0.0,0.0
UCLA,5,0,0.0,0.0
UCLA,6,0,0.0,0.0
UCLA,7,0,0.0,0.0
UCLA,8,0,0.0,0.0
UCLA,9,0,0.0,0.0
UCLA,10,0,0.0,0.0
UCLA,11,1786,0.893,1.0
UCLA,12,0,0.0,0.0
UCLA,13,0,0.0,0.0
UCLA,14,0,0.0,0.0
UCLA,15,0,0.0,0.0
UCLA,16,0,0.0,0.0
New Mexico,1,0,0.0,0.0
New Mexico,2,0,0.0,0.0
New Mexico,3,0,0.0,0.0
New Mexico,4,0,0.0,0.0
New Mexico,5,0,0.0,0.0
New Mexico,6,0,0.0,0.0
New Mexico,7,0,0.0,0.0
New Mexico,8,0,0.0,0.0
New Mexico,9,0,0.0,0.0
New Mexico,10,2000,1.0,1.0
New Mexico,11,0,0.0,0.0
New Mexico,12,0,0.0,0.0
New Mexico,13,0,0.0,0.0
New Mexico,14,0,0.0,0.0
New Mexico,15,0,0.0,0.0
New Mexico,16,0,0.0,0.0
TCU,1,0,0.0,0.0
TCU,2,0,0.0,0.0
TCU,3,0,0.0,0.0
TCU,4,0,0.0,0.0
TCU,5,0,0.0,0.0
TCU,6,0,0.0,0.0
TCU,7,0,0.0,0.0
TCU,8,0,0.0,0.0
TCU,9,0,0.0,0.0
TCU,10,0,0.0,0.0
TCU,11,32,0.016,1.0
TCU,12,0,0.0,0.0
TCU,13,0,0.0,0.0
TCU,14,0,0.0,0.0
TCU,15,0,0.0,0.0
TCU,16,0,0.0,0.0
Washington,1,0,0.0,0.0
Washington,2,0,0.0,0.0
Washington,3,0,0.0,0.0
Washington,4,0,0.0,0.0
Washington,5,0,0.0,0.0
Washington,6,0,0.0,0.0
Washington,7,0,0.0,0.0
Washington,8,0,0.0,0.0
Washington,9,0,0.0,0.0
Washington,10,0,0.0,0.0
Washington,11,14,0.007,1.0
Washington,12,0,0.0,0.0
Washington,13,0,0.0,0.0
Washington,14,0,0.0,0.0
Washington,15,0,0.0,0.0
Washington,16,0,0.0,0.0
San Diego St.,1,0,0.0,0.0
San Diego St.,2,0,0.0,0.0
San Diego St.,3,0,0.0,0.0
San Diego St.,4,0,0.0,0.0
San Diego St.,5,0,0.0,0.0
San Diego St.,6,0,0.0,0.0
San Diego St.,7,0,0.0,0.0
San Diego St.,8,0,0.0,0.0
San Diego St.,9,0,0.0,0.0
San Diego St.,10,0,0.0,0.0
San Diego St.,11,2000,1.0,1.0
San Diego St.,12,0,0.0,0.0
San Diego St.,13,0,0.0,0.0
San Diego St.,14,0,0.0,0.0
San Diego St.,15,0,0.0,0.0
San Diego St.,16,0,0.0,0.0
Creighton,1,0,0.0,0.0
Creighton,2,0,0.0,0.0
Creighton,3,0,0.0,0.0
Creighton,4,0,0.0,0.0
Creighton,5,0,0.0,0.0
Creighton,6,0,0.0,0.0
Creighton,7,0,0.0,0.0
Creighton,8,0,0.0,0.0
Creighton,9,0,0.0,0.0
Creighton,10,0,0.0,0.0
Creighton,11,16,0.008,0.8888888888888888
Creighton,12,2,0.001,0.1111111111111111
Creighton,13,0,0.0,0.0
Creighton,14,0,0.0,0.0
Creighton,15,0,0.0,0.0
Creighton,16,0,0.0,0.0
Virginia Tech,1,0,0.0,0.0
Virginia Tech,2,0,0.0,0.0
Virginia Tech,3,0,0.0,0.0
Virginia Tech,4,0,0.0,0.0
Virginia Tech,5,0,0.0,0.0
Virginia Tech,6,0,0.0,0.0
Virginia Tech,7,0,0.0,0.0
Virginia Tech,8,0,0.0,0.0
Virginia Tech,9,0,0.0,0.0
Virginia Tech,10,0,0.0,0.0
Virginia Tech,11,1999,0.9995,1.0
Virginia Tech,12,0,0.0,0.0
Virginia Tech,13,0,0.0,0.0
Virginia Tech,14,0,0.0,0.0
Virginia Tech,15,0,0.0,0.0
Virginia Tech,16,0,0.0,0.0
Miami FL,1,0,0.0,0.0
Miami FL,2,0,0.0,0.0
Miami FL,3,0,0.0,0.0
Miami FL,4,0,0.0,0.0
Miami FL,5,0,0.0,0.0
Miami FL,6,0,0.0,0.0
Miami FL,7,0,0.0,0.0
Miami FL,8,0,0.0,0.0
Miami FL,9,0,0.0,0.0
Miami FL,10,2000,1.0,1.0
Miami FL,11,0,0.0,0.0
Miami FL,12,0,0.0,0.0
Miami FL,13,0,0.0,0.0
Miami FL,14,0,0.0,0.0
Miami FL,15,0,0.0,0.0
Miami FL,16,0,0.0,0.0
Santa Clara,1,0,0.0,0.0
Santa Clara,2,0,0.0,0.0
Santa Clara,3,0,0.0,0.0
Santa Clara,4,0,0.0,0.0
Santa Clara,5,0,0.0,0.0
Santa Clara,6,0,0.0,0.0
Santa Clara,7,0,0.0,0.0
Santa Clara,8,0,0.0,0.0
Santa Clara,9,0,0.0,0.0
Santa Clara,10,0,0.0,0.0
Santa Clara,11,101,0.0505,1.0
Santa Clara,12,0,0.0,0.0
Santa Clara,13,0,0.0,0.0
Santa Clara,14,0,0.0,0.0
Santa Clara,15,0,0.0,0.0
Santa Clara,16,0,0.0,0.0
LSU,1,0,0.0,0.0
LSU,2,0,0.0,0.0
LSU,3,0,0.0,0.0
LSU,4,0,0.0,0.0
LSU,5,0,0.0,0.0
LSU,6,0,0.0,0.0
LSU,7,0,0.0,0.0
LSU,8,0,0.0,0.0
LSU,9,0,0.0,0.0
LSU,10,0,0.0,0.0
LSU,11,8,0.004,1.0
LSU,12,0,0.0,0.0
LSU,13,0,0.0,0.0
LSU,14,0,0.0,0.0
LSU,15,0,0.0,0.0
LSU,16,0,0.0,0.0
VCU,1,0,0.0,0.0
VCU,2,0,0.0,0.0
VCU,3,0,0.0,0.0
VCU,4,0,0.0,0.0
VCU,5,0,0.0,0.0
